...1,Country,Date,Cum_conf_cases,Cum_susp_cases,Cum_conf_death
1,Guinea,2015-03-10,2871,22,1778
2,Liberia,2015-03-10,3150,4314,NA
3,Sierra Leone,2015-03-10,8428,2904,3263
11,Guinea,2015-03-06,2840,16,1755
12,Liberia,2015-03-06,3150,4222,NA
13,Sierra Leone,2015-03-06,8389,2841,3210
20,Guinea,2015-03-05,2833,12,1749
21,Liberia,2015-03-05,3150,4222,NA
22,Sierra Leone,2015-03-05,8383,2827,3199
34,Guinea,2015-03-04,2808,5,1735
35,Liberia,2015-03-04,3153,4224,NA
36,Sierra Leone,2015-03-04,8353,2803,3164
38,Guinea,2015-03-02,2808,5,1735
39,Liberia,2015-03-02,3153,4224,NA
40,Sierra Leone,2015-03-02,8353,2803,3164
47,Guinea,2015-02-27,2790,8,1721
48,Liberia,2015-02-27,3153,4224,NA
49,Sierra Leone,2015-02-27,8320,2763,3124
56,Guinea,2015-02-26,2781,7,1714
57,Liberia,2015-02-26,3153,4224,NA
58,Sierra Leone,2015-02-26,8308,2746,3113
65,Guinea,2015-02-25,2762,6,1704
66,Liberia,2015-02-25,3153,4197,NA
67,Sierra Leone,2015-02-25,8289,2725,3095
74,Guinea,2015-02-23,2758,10,1699
75,Liberia,2015-02-23,3153,4188,NA
76,Sierra Leone,2015-02-23,8223,2645,3057
83,Guinea,2015-02-20,2734,2,1688
84,Liberia,2015-02-20,3152,4062,NA
85,Sierra Leone,2015-02-20,8223,2645,3057
92,Guinea,2015-02-19,2732,2,1686
93,Liberia,2015-02-19,3152,4062,NA
94,Sierra Leone,2015-02-19,8223,2645,3057
101,Guinea,2015-02-18,2727,7,1683
102,Sierra Leone,2015-02-18,8212,2604,3042
103,Liberia,2015-02-18,3149,3982,NA
110,Guinea,2015-02-17,2727,7,1683
111,Liberia,2015-02-17,3149,3982,NA
112,Sierra Leone,2015-02-17,8212,2604,3042
119,Guinea,2015-02-16,2720,7,1678
120,Liberia,2015-02-16,3149,3982,NA
121,Sierra Leone,2015-02-16,8199,2588,3035
127,Guinea,2015-02-13,2693,15,1659
128,Liberia,2015-02-13,3147,3908,3858
129,Sierra Leone,2015-02-13,8155,2545,2997
137,Guinea,2015-02-12,2685,16,1651
138,Liberia,2015-02-12,3146,3862,3826
139,Sierra Leone,2015-02-12,8138,2529,2984
146,Guinea,2015-02-11,2674,18,1643
147,Sierra Leone,2015-02-11,8135,2512,2975
148,Liberia,2015-02-11,3146,3862,3826
154,Guinea,2015-02-10,2674,18,1643
155,Liberia,2015-02-10,3146,3862,3826
156,Sierra Leone,2015-02-10,8135,2512,2975
164,Guinea,2015-02-06,2628,11,1608
165,Liberia,2015-02-06,3143,3732,NA
166,Sierra Leone,2015-02-06,8084,2421,2935
173,Guinea,2015-02-05,2621,18,1600
174,Liberia,2015-02-05,3143,3732,NA
175,Sierra Leone,2015-02-05,8063,2406,2920
182,Guinea,2015-02-04,2608,20,1597
183,Liberia,2015-02-04,3143,3732,NA
184,Sierra Leone,2015-02-04,8059,2394,2910
191,Guinea,2015-02-03,2608,20,1597
192,Liberia,2015-02-03,3143,3717,NA
193,Sierra Leone,2015-02-03,8059,2394,2910
199,Guinea,2015-02-02,2593,24,1595
200,Liberia,2015-02-02,3138,3666,NA
201,Sierra Leone,2015-02-02,8042,2378,2908
209,Guinea,2015-01-30,2575,13,1581
210,Liberia,2015-01-30,3138,3641,NA
211,Sierra Leone,2015-01-30,7989,2285,2850
218,Guinea,2015-01-29,2571,18,1579
219,Liberia,2015-01-29,3138,3641,NA
220,Sierra Leone,2015-01-29,7977,2273,2841
226,Sierra Leone,2015-01-28,7968,2263,2833
227,Guinea,2015-01-28,2569,16,1578
228,Liberia,2015-01-28,3138,3620,NA
235,Liberia,2015-01-27,3138,3620,NA
236,Guinea,2015-01-27,2569,16,1578
237,Sierra Leone,2015-01-27,7968,2263,2833
244,Guinea,2015-01-26,2559,18,1574
245,Sierra Leone,2015-01-26,7963,2241,2829
246,Liberia,2015-01-26,3136,3534,NA
253,Liberia,2015-01-23,3136,3534,NA
255,Sierra Leone,2015-01-23,7921,2192,2793
256,Guinea,2015-01-23,2545,9,1561
262,Liberia,2015-01-22,3136,3534,NA
263,Guinea,2015-01-22,2542,12,1560
264,Sierra Leone,2015-01-22,7909,2166,2787
271,Guinea,2015-01-21,2539,13,1557
272,Liberia,2015-01-21,3135,3489,NA
273,Sierra Leone,2015-01-21,7903,2150,2779
280,Guinea,2015-01-20,2539,13,1557
281,Sierra Leone,2015-01-20,7903,2150,2779
282,Liberia,2015-01-20,3135,3489,NA
289,Guinea,2015-01-19,2539,15,1556
290,Sierra Leone,2015-01-19,7883,2136,2766
292,Liberia,2015-01-19,3131,3454,NA
300,Guinea,2015-01-16,2525,12,1541
301,Liberia,2015-01-16,3127,3394,NA
302,Sierra Leone,2015-01-16,7825,2074,2717
307,Guinea,2015-01-15,2522,11,1537
308,Liberia,2015-01-15,3127,3394,NA
309,Sierra Leone,2015-01-15,7802,2061,2701
318,Guinea,2015-01-14,2514,8,1530
319,Liberia,2015-01-14,3127,3365,NA
320,Sierra Leone,2015-01-14,7786,2051,2696
325,Guinea,2015-01-13,2508,7,1523
326,Liberia,2015-01-13,3123,3322,NA
327,Sierra Leone,2015-01-13,7766,2041,2683
332,Liberia,2015-01-12,3123,3322,NA
333,Guinea,2015-01-12,2508,7,1523
334,Sierra Leone,2015-01-12,7766,2041,2683
335,Liberia,2015-01-09,3123,3309,NA
336,Guinea,2015-01-09,2493,18,1515
337,Sierra Leone,2015-01-09,7759,1984,2611
342,Liberia,2015-01-08,3118,3232,NA
343,Guinea,2015-01-08,2477,17,1504
344,Sierra Leone,2015-01-08,7759,1984,2611
345,Guinea,2015-01-07,2471,22,1499
346,Liberia,2015-01-07,3118,3223,NA
347,Sierra Leone,2015-01-07,7602,1819,2577
354,Guinea,2015-01-06,2471,22,1499
355,Liberia,2015-01-06,3118,3223,NA
356,Sierra Leone,2015-01-06,7602,1819,2577
363,Guinea,2015-01-05,2465,26,1488
364,Liberia,2015-01-05,3116,3198,NA
365,Sierra Leone,2015-01-05,7570,1915,2549
372,Guinea,2015-01-02,2435,19,1463
373,Liberia,2015-01-02,3110,3132,NA
374,Sierra Leone,2015-01-02,7476,1870,2461
381,Guinea,2014-12-31,2397,34,1433
382,Liberia,2014-12-31,3110,3132,NA
383,Sierra Leone,2014-12-31,7354,1805,2392
389,Guinea,2014-12-30,2397,34,1433
390,Liberia,2014-12-30,3108,3096,NA
391,Sierra Leone,2014-12-30,7354,1805,2392
397,Guinea,2014-12-29,2384,36,1422
398,Liberia,2014-12-29,3108,3096,NA
399,Sierra Leone,2014-12-29,7326,1796,2366
405,Guinea,2014-12-26,2342,19,1385
406,Liberia,2014-12-26,3085,3020,NA
407,Sierra Leone,2014-12-26,7160,1756,2289
413,Guinea,2014-12-24,2284,50,1344
414,Liberia,2014-12-24,3085,3020,NA
415,Sierra Leone,2014-12-24,7017,1700,2216
421,Guinea,2014-12-23,2284,50,1344
422,Liberia,2014-12-23,3085,2991,NA
423,Sierra Leone,2014-12-23,7017,1700,2216
429,Guinea,2014-12-22,2259,49,1323
430,Liberia,2014-12-22,3085,2991,NA
431,Sierra Leone,2014-12-22,6975,1677,2190
437,Guinea,2014-12-17,2127,26,1262
438,Liberia,2014-12-17,2946,3050,NA
439,Sierra Leone,2014-12-17,6702,1575,1876
445,Guinea,2014-12-15,2115,16,1255
446,Liberia,2014-12-15,2946,3050,NA
447,Sierra Leone,2014-12-15,6638,1556,1824
